Nested Sampling Global Log-Evidence           :   -0.579591829467970285E+02  +/-    0.635057274741495092E-01
Nested Importance Sampling Global Log-Evidence:   -0.590089124983245625E+02  +/-    0.466362447523487461E-01

Dim No.       Mean        Sigma
   1    0.109377576914085187E+00    0.900121202821512791E-02
   2    0.455629166676206143E+01    0.660502402720539346E-02
   3    0.408229841354557621E+01    0.570597995451710763E-02
   4   -0.928549984414122420E+01    0.192734925339194396E-01
   5    0.144700271644183174E-01    0.757257731292092370E-04
   6   -0.178939004665413681E+01    0.479965657319449610E-01
   7    0.195972116118145379E+01    0.439595189665722627E-02
   8    0.791647496489300995E+00    0.172492899278046930E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.118789296144609466E+00
   2    0.455483310349887915E+01
   3    0.408258216874582391E+01
   4   -0.928080746582195459E+01
   5    0.144724555836770463E-01
   6   -0.179981346642003137E+01
   7    0.195890245821678644E+01
   8    0.791762237715178063E+00

MAP Parameters
Dim No.        Parameter
   1    0.118789296144609466E+00
   2    0.455483310349887915E+01
   3    0.408258216874582391E+01
   4   -0.928080746582195459E+01
   5    0.144724555836770463E-01
   6   -0.179981346642003137E+01
   7    0.195890245821678644E+01
   8    0.791762237715178063E+00
